scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-06,12.56,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-07,12.6,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-10,12.74,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-11,12.77,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-12,12.89,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-13,12.95,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-14,12.96,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-17,12.99,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-18,12.83,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-19,12.77,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-20,12.73,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-21,12.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-24,12.19,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-25,12.28,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-27,12.18,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-28,12.23,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-31,12.41,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-01,12.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-02,12.68,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-03,12.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-04,12.49,Regular
